Size;Binary Search Tree;AVL
0;1;1
1;2;2
2;2;2
3;3;3
4;3;3
5;3;3
6;3;3
7;4;4
8;4;4
9;4;4
10;4;4
11;4;4
12;4;4
13;4;4
14;4;4
15;5;5
16;5;5
17;5;5
18;5;5
19;5;5
20;5;5
21;5;5
22;5;5
23;5;5
24;5;5
25;5;5
26;5;5
27;5;5
28;5;5
29;5;5
30;5;5
31;6;6
32;6;6
33;6;6
34;6;6
35;6;6
36;6;6
37;6;6
38;6;6
39;6;6
40;6;6
41;6;6
42;6;6
43;6;6
44;6;6
45;6;6
46;6;6
47;6;6
48;6;6
49;6;6
50;6;6
51;6;6
52;6;6
53;6;6
54;6;6
55;6;6
56;6;6
57;6;6
58;6;6
59;6;6
60;6;6
61;7;6
62;7;6
63;7;7
64;7;7
65;7;7
66;7;7
67;7;7
68;7;7
69;7;7
70;7;7
71;7;7
72;7;7
73;7;7
74;7;7
75;7;7
76;7;7
77;7;7
78;7;7
79;7;7
80;7;7
81;7;7
82;7;7
83;7;7
84;7;7
85;7;7
86;7;7
87;7;7
88;7;7
89;7;7
90;7;7
91;7;7
92;7;7
93;7;7
94;7;7
95;7;7
96;7;7
97;7;7
98;7;7
99;7;7
100;7;7
101;7;7
102;7;7
103;7;7
104;7;7
105;7;7
106;7;7
107;7;7
108;7;7
109;7;7
110;7;7
111;7;7
112;7;7
113;7;7
114;7;7
115;7;7
116;7;7
117;7;7
118;7;7
119;7;7
120;8;7
121;8;7
122;8;7
123;8;7
124;8;7
125;8;7
126;8;7
127;8;8
128;8;8
129;8;8
130;8;8
131;8;8
132;8;8
133;8;8
134;8;8
135;8;8
136;8;8
137;8;8
138;8;8
139;8;8
140;8;8
141;8;8
142;8;8
143;8;8
144;8;8
145;8;8
146;8;8
147;8;8
148;8;8
149;8;8
150;8;8
151;8;8
152;8;8
153;8;8
154;8;8
155;8;8
156;8;8
157;8;8
158;8;8
159;8;8
160;8;8
161;8;8
162;8;8
163;8;8
164;8;8
165;8;8
166;8;8
167;8;8
168;8;8
169;8;8
170;8;8
171;8;8
172;8;8
173;8;8
174;8;8
175;8;8
176;8;8
177;8;8
178;8;8
179;8;8
180;8;8
181;8;8
182;8;8
183;8;8
184;8;8
185;8;8
186;8;8
187;8;8
188;8;8
189;8;8
190;8;8
191;8;8
192;8;8
193;8;8
194;8;8
195;8;8
196;8;8
197;8;8
198;8;8
199;8;8
200;8;8
201;8;8
202;8;8
203;8;8
204;8;8
205;8;8
206;8;8
207;8;8
208;8;8
209;8;8
210;8;8
211;8;8
212;8;8
213;8;8
214;8;8
215;8;8
216;8;8
217;8;8
218;8;8
219;8;8
220;8;8
221;8;8
222;8;8
223;8;8
224;8;8
225;8;8
226;8;8
227;8;8
228;8;8
229;8;8
230;9;8
231;9;8
232;9;8
233;9;8
234;9;8
235;9;8
236;9;8
237;9;8
238;9;8
239;9;8
240;9;8
241;9;8
242;9;8
243;9;8
244;9;8
245;9;8
246;9;8
247;9;8
248;9;8
249;9;8
250;9;8
251;9;8
252;9;8
253;9;8
254;9;8
255;9;9
256;9;9
257;9;9
258;9;9
259;9;9
260;9;9
261;9;9
262;9;9
263;9;9
264;9;9
265;9;9
266;9;9
267;9;9
268;9;9
269;9;9
270;9;9
271;9;9
272;9;9
273;9;9
274;9;9
275;9;9
276;9;9
277;9;9
278;9;9
279;9;9
280;9;9
281;9;9
282;9;9
283;9;9
284;9;9
285;9;9
286;9;9
287;9;9
288;9;9
289;9;9
290;9;9
291;9;9
292;9;9
293;9;9
294;9;9
295;9;9
296;9;9
297;9;9
298;9;9
299;9;9
300;9;9
301;9;9
302;9;9
303;9;9
304;9;9
305;9;9
306;9;9
307;9;9
308;9;9
309;9;9
310;9;9
311;9;9
312;9;9
313;9;9
314;9;9
315;9;9
316;9;9
317;9;9
318;9;9
